Address,City,Venue_Name,Latitude,Longitude,Miles_Away,Type,Category_ID
31 Follinsbee Ln,West Newbury,West Newbury Food Mart,42.794878000000004,-70.995981,0.2,Grocery Store,4bf58dd8d48988d118951735
31 Follinsbee Ln,West Newbury,,,,,,4bf58dd8d48988d129951735
31 Follinsbee Ln,West Newbury,West Newbury Fire Station,42.801296563319845,-70.98808877592816,0.8,Fire Station,4bf58dd8d48988d12c941735
31 Follinsbee Ln,West Newbury,West Newbury Police Department,42.795833587646484,-70.99629211425781,0.2,Police Station,4bf58dd8d48988d12e941735
31 Follinsbee Ln,West Newbury,Renaissance Golf Club,42.77922263772293,-71.03900694941903,2.2,Golf Course,4bf58dd8d48988d1e6941735
31 Follinsbee Ln,West Newbury,,,,,,4bf58dd8d48988d163941735
35 Harris St,Marblehead,,,,,,4bf58dd8d48988d129951735
35 Harris St,Marblehead,Marblehead Police Dept,42.49655587917531,-70.85948938762408,0.8,Police Station,4bf58dd8d48988d12e941735
35 Harris St,Marblehead,Tedesco Country Club Marblehead,42.485367447957316,-70.89423797105376,2.6,Golf Course,4bf58dd8d48988d1e6941735
35 Harris St,Marblehead,Crocker Park,42.5030138179245,-70.84857364626099,0.2,Park,4bf58dd8d48988d163941735
35 Harris St,Marblehead,Crosby's Market Marblehead,42.504302407442296,-70.84941026438841,0.1,Grocery Store,4bf58dd8d48988d118951735
35 Harris St,Marblehead,NSMC Salem Hospital,42.51124622143515,-70.90663659210071,2.9,Emergency Room,4bf58dd8d48988d194941735
35 Harris St,Marblehead,Number One Security Company,42.484943,-70.867611,1.7,Fire Station,4bf58dd8d48988d12c941735
37 Biscayne Ave,Saugus,Cliftondale Depot Station,42.448833,-71.01467,1.6,Train Station,4bf58dd8d48988d129951735
37 Biscayne Ave,Saugus,Saugus Iron Works National Historic Site,42.468462034176405,-71.00887978673173,0.4,Historic Site,4bf58dd8d48988d163941735
37 Biscayne Ave,Saugus,Gannon Country Club,42.49012504629789,-70.97480198632432,2.0,Golf Course,4bf58dd8d48988d1e6941735
37 Biscayne Ave,Saugus,Trader Joe's,42.483820531225696,-71.01821614213671,1.3,Grocery Store,4bf58dd8d48988d118951735
37 Biscayne Ave,Saugus,"Guarente Plumbing & Heating, Inc",42.463531494140625,-71.00939178466797,0.6,Fire Station,4bf58dd8d48988d12c941735
37 Biscayne Ave,Saugus,Atlantic Ambulance- Lynn,42.47461958550371,-70.95608488234025,2.4,Emergency Room,4bf58dd8d48988d194941735
37 Biscayne Ave,Saugus,Saugus Police Dept,42.464192242201065,-71.006749655218,0.4,Police Station,4bf58dd8d48988d12e941735
38 Washington St,Marblehead,Marblehead Police Dept,42.49655587917531,-70.85948938762408,0.9,Police Station,4bf58dd8d48988d12e941735
38 Washington St,Marblehead,NSMC Salem Hospital,42.51124622143515,-70.90663659210071,3.0,Emergency Room,4bf58dd8d48988d194941735
38 Washington St,Marblehead,Crosby's Market Marblehead,42.504302407442296,-70.84941026438841,0.2,Grocery Store,4bf58dd8d48988d118951735
38 Washington St,Marblehead,,,,,,4bf58dd8d48988d129951735
38 Washington St,Marblehead,Crocker Park,42.5030138179245,-70.84857364626099,0.3,Park,4bf58dd8d48988d163941735
38 Washington St,Marblehead,Number One Security Company,42.484943,-70.867611,1.8,Fire Station,4bf58dd8d48988d12c941735
38 Washington St,Marblehead,Tedesco Country Club Marblehead,42.485367447957316,-70.89423797105376,2.8,Golf Course,4bf58dd8d48988d1e6941735
4 GERRY Rd,Lynnfield,Whole Foods Market,42.5144224656762,-71.03206340823202,0.7,Grocery Store,4bf58dd8d48988d118951735
4 GERRY Rd,Lynnfield,Lynnfield Fire,42.515010833740234,-71.01183319091797,1.3,Fire Station,4bf58dd8d48988d12c941735
4 GERRY Rd,Lynnfield,MBTA Commuter Rail Train #214,42.52117593798743,-71.06813020535205,1.8,Train,4bf58dd8d48988d129951735
4 GERRY Rd,Lynnfield,Sagamore Springs Golf Course,42.55908035013706,-71.04031126064984,2.4,Golf Course,4bf58dd8d48988d1e6941735
4 GERRY Rd,Lynnfield,Reading Police Academy,42.517909497485924,-71.05178771346687,1.1,Police Station,4bf58dd8d48988d12e941735
4 GERRY Rd,Lynnfield,,,,,,4bf58dd8d48988d163941735
4 GERRY Rd,Lynnfield,Union Hospital Emergency Room,42.501324,-70.979885,3.2,Emergency Room,4bf58dd8d48988d194941735
440 WINTER St,North Andover,,,,,,4bf58dd8d48988d129951735
440 WINTER St,North Andover,AFC Urgent Care North Andover,42.675540924072266,-71.13066101074219,3.5,Emergency Room,4bf58dd8d48988d194941735
440 WINTER St,North Andover,Police,42.695126,-71.04744,1.0,Police Station,4bf58dd8d48988d12e941735
440 WINTER St,North Andover,,,,,,4bf58dd8d48988d163941735
440 WINTER St,North Andover,Boxford Fire Dept,42.695126,-71.04744,1.0,Fire Station,4bf58dd8d48988d12c941735
440 WINTER St,North Andover,North Andover Country Club,42.69240430784517,-71.09262494446558,1.4,Golf Course,4bf58dd8d48988d1e6941735
440 WINTER St,North Andover,Supermercado latino,42.71399749052936,-71.05522920855148,1.6,Grocery Store,4bf58dd8d48988d118951735
445 Wethersfield St,Rowley,Action Linebrook,42.684461,-70.919625,2.9,Emergency Room,4bf58dd8d48988d194941735
445 Wethersfield St,Rowley,,,,,,4bf58dd8d48988d163941735
445 Wethersfield St,Rowley,Ipswich Country Club,42.69465934974526,-70.89781971291814,2.4,Golf Course,4bf58dd8d48988d1e6941735
445 Wethersfield St,Rowley,,,,,,4bf58dd8d48988d129951735
445 Wethersfield St,Rowley,Byfield Fire Department,42.74544669106804,-70.94367663231802,1.9,Fire Station,4bf58dd8d48988d12c941735
445 Wethersfield St,Rowley,Market Basket,42.708056889982615,-70.90606720686979,1.4,Grocery Store,4bf58dd8d48988d118951735
445 Wethersfield St,Rowley,Sherif,42.70887947683751,-70.90636594278574,1.4,Police Station,4bf58dd8d48988d12e941735
46 True Rd,Salisbury,Lion's Park,42.84508639118485,-70.86456395467188,0.5,Baseball Field,4bf58dd8d48988d163941735
46 True Rd,Salisbury,,,,,,4bf58dd8d48988d129951735
46 True Rd,Salisbury,,,,,,4bf58dd8d48988d12e941735
46 True Rd,Salisbury,Salisbury Fire Station,42.84625543542071,-70.8632749969266,0.6,Fire Station,4bf58dd8d48988d12c941735
46 True Rd,Salisbury,,,,,,4bf58dd8d48988d118951735
46 True Rd,Salisbury,Anna Jaques Emergency Room,42.814494089025786,-70.89189893445271,2.4,Emergency Room,4bf58dd8d48988d194941735
46 True Rd,Salisbury,Rangeway Center,42.84123229980469,-70.89085388183594,0.9,Golf Course,4bf58dd8d48988d1e6941735
480 Asbury St,Hamilton,Beverly Hospital Emergency Department,42.563812329159795,-70.87530103242862,4.7,Emergency Room,4bf58dd8d48988d194941735
480 Asbury St,Hamilton,,,,,,4bf58dd8d48988d163941735
480 Asbury St,Hamilton,MBTA Hamilton Station,42.60977484088575,-70.87477677975534,1.7,Train Station,4bf58dd8d48988d129951735
480 Asbury St,Hamilton,Hamilton Public Safety Building (Police and Fire),42.61258834844067,-70.87193640554771,1.6,Police Station,4bf58dd8d48988d12e941735
480 Asbury St,Hamilton,,,,,,4bf58dd8d48988d12c941735
480 Asbury St,Hamilton,CITGO HAMILTON CONVENIENCE,42.61201376270865,-70.87344472158973,1.6,Grocery Store,4bf58dd8d48988d118951735
480 Asbury St,Hamilton,Myopia Hunt Club,42.60920820991451,-70.85915262940203,2.2,Golf Course,4bf58dd8d48988d1e6941735
5 Benevento Cir,Peabody,,,,,,4bf58dd8d48988d12c941735
5 Benevento Cir,Peabody,,,,,,4bf58dd8d48988d163941735
5 Benevento Cir,Peabody,Beverly Hospital At Danvers,42.584337759424194,-70.97200627076526,2.1,Hospital,4bf58dd8d48988d194941735
5 Benevento Cir,Peabody,Big Y World Class Market,42.55119829432614,-71.00181761947397,0.7,Grocery Store,4bf58dd8d48988d118951735
5 Benevento Cir,Peabody,,,,,,4bf58dd8d48988d129951735
5 Benevento Cir,Peabody,Paradise Mini Golf,42.57418976417487,-70.99771638411329,1.2,Golf Course,4bf58dd8d48988d1e6941735
5 Benevento Cir,Peabody,Essex County Sheriffs Department,42.54604293862921,-70.97768127597777,1.1,Police Station,4bf58dd8d48988d12e941735
50 Bradford St,Haverhill,7-Eleven,42.7303094,-71.1368992,1.4,Grocery Store,4bf58dd8d48988d118951735
50 Bradford St,Haverhill,,,,,,4bf58dd8d48988d163941735
50 Bradford St,Haverhill,Far Corner Golf Course,42.73441357014328,-71.08504074616869,1.3,Golf Course,4bf58dd8d48988d1e6941735
50 Bradford St,Haverhill,North Andover Police Dept.,42.72851161371706,-71.11164378323575,0.6,Police Station,4bf58dd8d48988d12e941735
50 Bradford St,Haverhill,,,,,,4bf58dd8d48988d12c941735
